headline,preprocessed_headline,date_std,source
"Medicinal cannabis products 'sitting in warehouses', Senate committee told amid concerns about access","['Medicinal', 'cannabis', 'product', ""'sitting"", 'warehouse', ""'"", ',', 'Senate', 'committee', 'told', 'amid', 'concern', 'access']",2017-05-29,headline
Medicinal cannabis trial gets green light on Norfolk Island: Tasman Health Cannabinoids gets production licence,"['Medicinal', 'cannabis', 'trial', 'get', 'green', 'light', 'Norfolk', 'Island', ':', 'Tasman', 'Health', 'Cannabinoids', 'get', 'production', 'licence']",2014-08-01,headline
"Cannabis farm approved for western Brisbane, but nearby residents not consulted","['Cannabis', 'farm', 'approved', 'western', 'Brisbane', ',', 'nearby', 'resident', 'consulted']",2018-08-10,headline
Medicinal marijuana and the lengths Australian farmers must go to in securely growing it,"['Medicinal', 'marijuana', 'length', 'Australian', 'farmer', 'must', 'go', 'securely', 'growing']",2017-06-08,headline
Victoria has high hopes of becoming cannabis bowl of Australia,"['Victoria', 'high', 'hope', 'becoming', 'cannabis', 'bowl', 'Australia']",2019-01-26,headline
Managing chronic pain with medicinal cannabis,"['Managing', 'chronic', 'pain', 'medicinal', 'cannabis']",2019-07-24,headline
"'Ignorant, confused or misinformed': Senate Committee Inquiry recommends overhaul of medicinal cannabis system","[""'Ignorant"", ',', 'confused', 'misinformed', ""'"", ':', 'Senate', 'Committee', 'Inquiry', 'recommends', 'overhaul', 'medicinal', 'cannabis', 'system']",2020-03-25,headline
"Medical cannabis: Queensland, Victoria and New South Wales join forces on cannabis oil in medical trials","['Medical', 'cannabis', ':', 'Queensland', ',', 'Victoria', 'New', 'South', 'Wales', 'join', 'force', 'cannabis', 'oil', 'medical', 'trial']",2015-04-18,headline
"Cannabis treatment for sick dogs lags behind US, but Colorado expert urges caution","['Cannabis', 'treatment', 'sick', 'dog', 'lag', 'behind', 'US', ',', 'Colorado', 'expert', 'urge', 'caution']",2021-05-31,headline
Medicinal cannabis shares take a hit as market reality sets in,"['Medicinal', 'cannabis', 'share', 'take', 'hit', 'market', 'reality', 'set']",2020-03-02,headline
"Medicinal cannabis driving plan inconsistent with road safety objectives, SA Police Minister says","['Medicinal', 'cannabis', 'driving', 'plan', 'inconsistent', 'road', 'safety', 'objective', ',', 'SA', 'Police', 'Minister', 'say']",2017-07-06,headline
Medicinal marijuana research at University of Sydney receives record $33m donation from Barry and Joy Lambert,"['Medicinal', 'marijuana', 'research', 'University', 'Sydney', 'receives', 'record', '$', '33m', 'donation', 'Barry', 'Joy', 'Lambert']",2015-06-11,headline
"Medicinal cannabis not likely to be a big export for Australia, says major Canadian player","['Medicinal', 'cannabis', 'likely', 'big', 'export', 'Australia', ',', 'say', 'major', 'Canadian', 'player']",2018-01-14,headline
Medicinal cannabis market offers new opportunities for agriculture,"['Medicinal', 'cannabis', 'market', 'offer', 'new', 'opportunity', 'agriculture']",2017-02-21,headline
Woman sources 'home-grown' medicinal cannabis through her church after year-long effort to obtain it legally fails,"['Woman', 'source', ""'home-grown"", ""'"", 'medicinal', 'cannabis', 'church', 'year-long', 'effort', 'obtain', 'legally', 'fails']",2019-04-13,headline
Melbourne study explores medicinal cannabis as treatment for children with autism,"['Melbourne', 'study', 'explores', 'medicinal', 'cannabis', 'treatment', 'child', 'autism']",2022-11-17,headline
Medicinal cannabis: New laws allow access for Queensland patients of any age,"['Medicinal', 'cannabis', ':', 'New', 'law', 'allow', 'access', 'Queensland', 'patient', 'age']",2016-10-12,headline
"First legal, commercial medicinal cannabis shipment now in Australia","['First', 'legal', ',', 'commercial', 'medicinal', 'cannabis', 'shipment', 'Australia']",2017-05-03,headline
Medicinal cannabis trial: Michael Ferguson signals support for 'appropriately conducted clinical research',"['Medicinal', 'cannabis', 'trial', ':', 'Michael', 'Ferguson', 'signal', 'support', ""'appropriately"", 'conducted', 'clinical', 'research', ""'""]",2014-09-07,headline
"Medicinal cannabis 'a miracle' treatment for my daughter, mum tells Tas inquiry","['Medicinal', 'cannabis', ""'"", 'miracle', ""'"", 'treatment', 'daughter', ',', 'mum', 'tell', 'Tas', 'inquiry']",2014-09-17,headline
Growing pains as medicinal cannabis enters the legal realm,"['Growing', 'pain', 'medicinal', 'cannabis', 'enters', 'legal', 'realm']",2017-02-16,headline
Faster path to medicinal cannabis reopened as Government defeated in Senate,"['Faster', 'path', 'medicinal', 'cannabis', 'reopened', 'Government', 'defeated', 'Senate']",2017-06-12,headline
VIDEO: Medicinal Cannabis: The industry booming in secret,"['VIDEO', ':', 'Medicinal', 'Cannabis', ':', 'The', 'industry', 'booming', 'secret']",2020-03-20,headline
People prescribed medicinal cannabis will have now access to it within two days under streamlined process,"['People', 'prescribed', 'medicinal', 'cannabis', 'access', 'within', 'two', 'day', 'streamlined', 'process']",2018-04-13,headline
Medicinal cannabis 'red-tape' pushing doctors and patients back to illegal products,"['Medicinal', 'cannabis', ""'red-tape"", ""'"", 'pushing', 'doctor', 'patient', 'back', 'illegal', 'product']",2017-08-16,headline
Capital Mining makes bid to be first to grow medicinal cannabis,"['Capital', 'Mining', 'make', 'bid', 'first', 'grow', 'medicinal', 'cannabis']",2015-04-16,headline
NSW medical cannabis trial could expand interstate after COAG deal flags 'nationwide approach',"['NSW', 'medical', 'cannabis', 'trial', 'could', 'expand', 'interstate', 'COAG', 'deal', 'flag', ""'nationwide"", 'approach', ""'""]",2014-10-13,headline
ABC Local,"['ABC', 'Local']",2015-08-03,headline
Seriously ill Tasmanians to get access to medicinal cannabis from 2017,"['Seriously', 'ill', 'Tasmanians', 'get', 'access', 'medicinal', 'cannabis', '2017']",2016-04-22,headline
Medicinal cannabis: desperate parents turn to black market,"['Medicinal', 'cannabis', ':', 'desperate', 'parent', 'turn', 'black', 'market']",2019-02-21,headline
"Medicinal cannabis approvals surged in 2019, but the AMA says there's still not enough proof that it works","['Medicinal', 'cannabis', 'approval', 'surged', '2019', ',', 'AMA', 'say', ""'s"", 'still', 'enough', 'proof', 'work']",2019-10-22,headline
Father defends Victorian medicinal cannabis program as kids drop out,"['Father', 'defends', 'Victorian', 'medicinal', 'cannabis', 'program', 'kid', 'drop']",2018-06-07,headline
Campaigners welcome progress as medicinal cannabis legislation passes in federal Parliament,"['Campaigners', 'welcome', 'progress', 'medicinal', 'cannabis', 'legislation', 'pass', 'federal', 'Parliament']",2016-02-24,headline
Managing medicinal marijuana,"['Managing', 'medicinal', 'marijuana']",2016-05-30,headline
VIDEO: Inside a Tasmanian medicinal cannabis farm,"['VIDEO', ':', 'Inside', 'Tasmanian', 'medicinal', 'cannabis', 'farm']",2021-12-20,headline
Medicinal cannabis campaign demands better access to drug,"['Medicinal', 'cannabis', 'campaign', 'demand', 'better', 'access', 'drug']",2017-01-20,headline
Medicinal cannabis charges 'puzzle' lawyer as public debate grows,"['Medicinal', 'cannabis', 'charge', ""'puzzle"", ""'"", 'lawyer', 'public', 'debate', 'grows']",2017-04-09,headline
